,logFC,AveExpr,t,P.Value,adj.P.Val,B,GeneSymbol
210078_s_at,-0.691113203,6.129827983,-5.509113168,3.79E-06,0.180648117,3.421390121,KCNAB1
225959_s_at,-0.601643949,6.554827437,-5.322908086,6.61E-06,0.180648117,3.002134245,ZNRF1
1553718_at,-0.959972691,3.914700041,-4.854194825,2.67E-05,0.251231955,1.939688972,ZNF548
241871_at,-0.632423817,4.033636577,-4.701224079,4.21E-05,0.251231955,1.592170593,CAMK4
1553108_at,-0.742761165,3.470767155,-4.695670312,4.28E-05,0.251231955,1.579557713,C5orf24
214823_at,-0.715579792,2.869929147,-4.682859942,4.44E-05,0.251231955,1.550466729,ZNF204P
230923_at,-0.756029891,2.290227903,-4.658144321,4.78E-05,0.251231955,1.494348976,TAFA1
229770_at,-0.614968673,5.477502668,-4.62396689,5.29E-05,0.251231955,1.416770189,GLT1D1
222790_s_at,-0.510504162,1.870020999,-4.619324629,5.36E-05,0.251231955,1.406235065,RSBN1
203820_s_at,-0.515854565,2.011710358,-4.619162167,5.36E-05,0.251231955,1.405866384,IGF2BP3
227891_s_at,0.595953988,4.463116073,4.609723979,5.51E-05,0.251231955,1.384449269,TAF15
1554001_at,-0.929562469,7.110672123,-4.526778665,7.04E-05,0.296090701,1.196352479,TRIM37
224036_s_at,-0.605334048,3.288258297,-4.501384836,7.59E-05,0.296252618,1.138818109,LMBR1
1556366_s_at,-0.811597928,2.704709448,-4.356769665,0.000115879,0.336416099,0.811781144,LY86-AS1
224575_at,-0.411698084,4.661044164,-4.353778821,0.000116896,0.336416099,0.805030537,BRK1
1556211_a_at,-0.500821943,2.136522451,-4.334521537,0.000123655,0.336416099,0.761579536,AIG1
228249_at,-0.677554731,4.998531185,-4.329966236,0.000125309,0.336416099,0.751304954,IFTAP
228747_at,-0.48644466,7.773326635,-4.311760545,0.00013214,0.336416099,0.710256329,SEC61A2
213927_at,-0.598939376,6.307030323,-4.294339513,0.000139019,0.336416099,0.670999582,MAP3K9
228771_at,-0.785473598,3.806078594,-4.286408479,0.000142267,0.336416099,0.653135288,GRK3
215143_at,-0.734953754,5.578306723,-4.234588372,0.000165396,0.336416099,0.536536099,DPY19L2P2
226003_at,-0.880173615,7.098471121,-4.230894157,0.000167179,0.336416099,0.528232351,KIF21A
217050_at,-0.468287755,3.71107289,-4.223438815,0.000170835,0.336416099,0.511478044,DIAPH2-AS1
244834_at,-0.60649359,6.637123898,-4.220199231,0.000172448,0.336416099,0.504199275,CPLANE2
213338_at,-0.740767004,4.499566713,-4.215538117,0.000174796,0.336416099,0.493728205,TMEM158
200623_s_at,-0.666133254,9.501251961,-4.205325021,0.000180049,0.336416099,0.470791521,CALM3
230551_at,-0.533022343,7.341877258,-4.195386992,0.000185309,0.336416099,0.44848165,KSR2
241672_at,-0.901438903,2.569820376,-4.154619002,0.000208512,0.336416099,0.357058676,SERTM1
204995_at,-0.589042881,8.315048752,-4.144569819,0.000214656,0.336416099,0.334548042,CDK5R1
211612_s_at,0.69502459,3.344576233,4.118222097,0.000231618,0.336416099,0.275576682,IL13RA1
242239_at,0.516178253,6.608550838,4.108296671,0.000238343,0.336416099,0.253380411,NSUN6
224967_at,-0.571727874,3.80795048,-4.07940722,0.000259022,0.336416099,0.188835405,UGCG
204060_s_at,0.534011436,3.714119786,4.062636481,0.000271822,0.336416099,0.151408711,PRKX
212731_at,-0.643713404,5.676238641,-4.060548362,0.000273459,0.336416099,0.146750972,ANKRD46
221626_at,0.415871547,6.530124985,4.057530635,0.000275841,0.336416099,0.140020547,ZNF506
242586_at,-0.686853131,2.613243583,-4.043339132,0.000287317,0.336416099,0.10838351,FSD1L
229649_at,-0.750874218,6.642967225,-4.036658137,0.000292881,0.336416099,0.093497825,NRXN3
233002_at,-0.959408932,3.100394668,-4.030201866,0.000298357,0.336416099,0.079117907,PPP4R4
211813_x_at,0.70590779,5.552822717,4.029869753,0.000298641,0.336416099,0.078378334,DCN
227365_at,-0.461240362,5.17920964,-4.003966517,0.000321658,0.336416099,0.020736701,ATCAY
228438_at,-0.352079843,1.749509496,-3.98296928,0.000341579,0.336416099,-0.025926204,MSC-AS1
225097_at,0.537158542,7.757635228,3.981017422,0.000343491,0.336416099,-0.030261022,HIPK2
224343_x_at,0.450833391,2.115732765,3.9746228,0.000349828,0.336416099,-0.044459168,TRAJ41
204260_at,-0.844366959,6.74952013,-3.965499521,0.000359068,0.336416099,-0.06470656,CHGB
218133_s_at,-0.542503398,4.72829308,-3.959502028,0.000365271,0.336416099,-0.078010874,NIF3L1
236359_at,-0.471429264,4.523709974,-3.958954062,0.000365843,0.336416099,-0.079226196,SCN4B
202395_at,-1.107285729,5.553580761,-3.942879045,0.000383015,0.336416099,-0.114860647,NSF
241758_at,-1.168436471,6.486779354,-3.929938438,0.000397409,0.336416099,-0.143521292,NUP93
210292_s_at,-0.922059324,4.335654533,-3.928279488,0.000399292,0.336416099,-0.147193837,PCDH11X
238446_at,0.637722433,3.440750944,3.924381335,0.00040375,0.336416099,-0.155821964,NAIP
201893_x_at,0.598835595,3.833903556,3.922806956,0.000405565,0.336416099,-0.159306075,DCN
243521_at,-0.704584335,4.572509336,-3.921890156,0.000406625,0.336416099,-0.161334799,ZXDA
242372_s_at,-1.346696779,4.370628161,-3.915259589,0.000414374,0.336416099,-0.176003613,MFSD4A
209835_x_at,0.567608001,5.298690297,3.91173532,0.000418552,0.336416099,-0.183797832,CD44
227556_at,-0.555412677,10.09194196,-3.910194232,0.000420391,0.336416099,-0.187205522,NME7
1563209_a_at,-0.433951597,5.48509686,-3.903900571,0.000427986,0.336416099,-0.201118701,MACROD2
238056_at,-0.478099571,6.153644361,-3.889441958,0.000445943,0.336416099,-0.233060236,SDHC
214285_at,-0.925658086,7.13970433,-3.88032974,0.000457635,0.336416099,-0.253174999,FABP3
203841_x_at,-0.695501605,4.988443212,-3.874681245,0.000465032,0.336416099,-0.265637607,MAPRE3
205352_at,-0.928054483,5.882095698,-3.874367456,0.000465446,0.336416099,-0.2663298,SERPINI1
206935_at,-0.674349096,7.623289718,-3.867054676,0.000475204,0.336416099,-0.282457006,PCDH8
229963_at,-0.94551991,7.084074125,-3.866412447,0.000476071,0.336416099,-0.283872961,BEX5
219989_s_at,-0.456525113,3.64696184,-3.861788424,0.000482354,0.336416099,-0.294065931,ANKS1B
1560128_x_at,0.389008839,2.840418684,3.851415203,0.000496746,0.336416099,-0.316920345,IRF1-AS1
203389_at,-0.460813129,5.856683833,-3.845189313,0.000505584,0.336416099,-0.33062939,KIF3C
207667_s_at,0.424819997,4.528322668,3.843884931,0.000507455,0.336416099,-0.333500806,MAP2K3
242328_at,-0.788981302,5.711386825,-3.82618117,0.000533523,0.336416099,-0.372446934,RAB3C
209915_s_at,-0.603384664,8.746969122,-3.820722241,0.000541821,0.336416099,-0.384445964,NRXN1
204586_at,-0.417999399,7.431908145,-3.8202501,0.000542544,0.336416099,-0.385483532,BSN
231791_at,-0.876388308,5.701934938,-3.8177893,0.000546331,0.336416099,-0.390890771,ASAH2B
217963_s_at,-0.393305061,9.282918972,-3.815702596,0.000549562,0.336416099,-0.395475232,BEX3
1555815_a_at,0.424477794,2.859946269,3.812321065,0.000554837,0.336416099,-0.402902929,L3MBTL2
229360_at,-0.726537747,5.13677493,-3.798507402,0.000576901,0.336416099,-0.433226121,ZNF280B
1557557_at,0.754564785,5.258798189,3.796195865,0.000580676,0.336416099,-0.43829728,MATN1-AS1
212774_at,-0.458303115,10.56281812,-3.782414889,0.000603683,0.336416099,-0.468512366,ZBTB18
1557030_at,0.702510705,4.035305011,3.780918709,0.000606233,0.336416099,-0.471790879,GAB1
212697_at,-0.438249726,7.118396959,-3.780212431,0.000607441,0.336416099,-0.473338383,RETREG3
218888_s_at,-0.754811468,3.470188358,-3.772337142,0.000621065,0.336416099,-0.49058804,NETO2
228714_at,0.405209416,2.027294966,3.768906408,0.000627093,0.336416099,-0.498099291,CHROMR
205280_at,-0.60277358,3.177861538,-3.764206599,0.000635442,0.336416099,-0.508385821,GLRB
217625_x_at,0.524787666,2.962901059,3.76359605,0.000636535,0.336416099,-0.509721862,LINC00963
228716_at,-0.566740827,4.897178968,-3.76155125,0.000640208,0.336416099,-0.514195956,THRB
1566403_at,1.001693288,5.705234557,3.745245542,0.000670238,0.336416099,-0.549847742,SNORA68
224596_at,0.519926115,4.545626987,3.744095701,0.000672407,0.336416099,-0.552360089,SLC44A1
210347_s_at,-0.599581846,4.599817368,-3.743373762,0.000673772,0.336416099,-0.553937373,BCL11A
238886_at,0.507487144,4.647032947,3.739715848,0.00068073,0.336416099,-0.561927745,TMED10
1553357_at,-0.663146817,6.889153544,-3.737916036,0.000684179,0.336416099,-0.565858408,FGF13
210422_x_at,0.342944967,5.789642771,3.737819321,0.000684364,0.336416099,-0.566069611,SLC11A1
203745_at,-0.745714129,5.324190616,-3.737140738,0.00068567,0.336416099,-0.567551428,HCCS
224367_at,-0.780883785,6.517538473,-3.736579204,0.000686751,0.336416099,-0.568777588,BEX2
202499_s_at,-0.868282846,6.010146017,-3.736330723,0.000687231,0.336416099,-0.569320149,SLC2A3
208359_s_at,-0.434837601,12.41796215,-3.734663534,0.000690454,0.336416099,-0.572960203,KCNJ4
230846_at,-0.772297191,7.335505728,-3.733703406,0.000692318,0.336416099,-0.575056272,AKAP5
203087_s_at,-0.573161162,7.436923089,-3.731910745,0.00069581,0.336416099,-0.578969425,KIF2A
231998_at,-0.961868932,9.880868645,-3.730539237,0.000698493,0.336416099,-0.581962872,SART1
209839_at,-0.76221796,8.674735239,-3.726222835,0.000707003,0.336416099,-0.591381654,DNM3
222985_at,-0.795564992,9.476463585,-3.724986492,0.000709459,0.336416099,-0.594078859,YWHAG
229818_at,-0.64502111,7.249304607,-3.723704154,0.000712015,0.336416099,-0.596876118,SVOP
204287_at,-0.674026727,5.52131137,-3.723334229,0.000712754,0.336416099,-0.597683009,SYNGR1
208384_s_at,-0.546735721,4.271332863,-3.709439968,0.000741057,0.336416099,-0.627971812,MID2
200703_at,-0.538633715,5.758898272,-3.708584855,0.000742834,0.336416099,-0.62983478,DYNLL1
213479_at,-0.885441821,6.900346577,-3.705588189,0.000749094,0.336416099,-0.636362339,NPTX2
243403_x_at,0.618829671,4.011378901,3.695638398,0.000770248,0.336416099,-0.658023976,CPM
227562_at,-0.455092445,3.673206653,-3.692142471,0.000777818,0.336416099,-0.665630633,LAMTOR3
59697_at,-0.499838993,5.61706436,-3.690272927,0.000781895,0.336416099,-0.669697581,RAB15
213296_at,0.48158814,5.785841275,3.689571808,0.00078343,0.336416099,-0.671222608,RER1
213038_at,-0.57930371,3.528667852,-3.684553003,0.000794499,0.336416099,-0.68213651,RNF19B
232636_at,-0.869853462,5.091245343,-3.682247732,0.000799634,0.336416099,-0.687147987,SLITRK4
214270_s_at,-0.599097035,4.867657516,-3.678397422,0.000808283,0.336416099,-0.695516052,MAPRE3
1553956_at,-0.748612155,3.238482961,-3.676008452,0.000813695,0.336416099,-0.700706722,TMEM237
204992_s_at,-0.717896096,9.214840423,-3.671831414,0.000823241,0.336416099,-0.709779867,PFN2
220979_s_at,-0.997845777,4.429328508,-3.668793782,0.000830252,0.336416099,-0.716375992,ST6GALNAC5
201864_at,-0.314209245,9.555780837,-3.66507771,0.000838907,0.336416099,-0.724442953,GDI1
230076_at,-0.450642765,5.309468348,-3.661329769,0.000847724,0.336416099,-0.732576444,PITPNM3
204471_at,-1.181578297,8.112975121,-3.65542802,0.000861791,0.336416099,-0.745378532,GAP43
235571_at,0.439199752,6.950911881,3.655427608,0.000861792,0.336416099,-0.745379426,MIR34AHG
225269_s_at,0.424131937,8.929372534,3.653472441,0.000866502,0.336416099,-0.74961911,RBMS1
209582_s_at,-0.705088796,5.368528843,-3.649832856,0.000875336,0.336416099,-0.757509412,CD200
201660_at,-0.472269954,2.336698798,-3.647304675,0.000881524,0.336416099,-0.762988785,ACSL3
228027_at,-0.510817643,9.28951937,-3.646114086,0.000884452,0.336416099,-0.765568742,GPRASP2
1562031_at,0.674641663,5.121889685,3.64427479,0.000888995,0.336416099,-0.769553883,JAK2
219736_at,-0.873077624,5.060270029,-3.640010614,0.000899614,0.336416099,-0.778790399,TRIM36
237250_at,-0.97906671,3.795266556,-3.639763983,0.000900232,0.336416099,-0.779324511,GABRA2
35254_at,0.350825219,2.913214918,3.637491753,0.000905944,0.336416099,-0.784244773,TRAFD1
204743_at,-0.485595806,5.848809254,-3.636360382,0.000908801,0.336416099,-0.786694256,TAGLN3
235066_at,-0.635804425,7.472822919,-3.632808495,0.000917828,0.336416099,-0.794382665,MAP4
212134_at,0.408632142,6.389310124,3.631939692,0.000920049,0.336416099,-0.796262897,PHLDB1
222442_s_at,-0.582265032,5.282744362,-3.6300996,0.00092477,0.336416099,-0.800244671,ARL8B
225437_s_at,0.340010131,2.811777001,3.624621775,0.000938965,0.336416099,-0.812094179,BRAT1
238862_at,-0.724188621,4.279795644,-3.624526523,0.000939214,0.336416099,-0.812300174,MFSD4A
205068_s_at,-0.547925852,6.597420072,-3.623963005,0.000940686,0.336416099,-0.813518817,ARHGAP26
221916_at,-0.66117595,10.36931841,-3.61935448,0.000952813,0.336416099,-0.823482675,NEFL
238100_at,-0.80059024,6.184290065,-3.616241258,0.00096109,0.336416099,-0.830211223,AAK1
200978_at,-0.755937035,6.854922839,-3.614164081,0.000966652,0.336416099,-0.83469951,MDH1
212271_at,-0.598276425,8.371267428,-3.612477274,0.000971191,0.336416099,-0.838343666,MAPK1
201073_s_at,0.47060169,5.429042,3.608366962,0.000982338,0.336416099,-0.847221141,SMARCC1
205928_at,0.431642805,2.61052974,3.605554983,0.000990035,0.336416099,-0.853292511,ZNF443
206232_s_at,-0.416033907,3.576246053,-3.605081563,0.000991337,0.336416099,-0.854314519,B4GALT6
226612_at,-0.654896812,4.864277275,-3.603195523,0.000996539,0.336416099,-0.858385611,UBE2QL1
206534_at,-0.666823542,6.568747687,-3.602902177,0.00099735,0.336416099,-0.859018744,GRIN2A
200696_s_at,0.602099495,5.798913678,3.602111819,0.000999539,0.336416099,-0.860724503,GSN
204229_at,-0.718714144,10.30246721,-3.597341354,0.001012853,0.336416099,-0.871017479,SLC17A7
227319_at,-0.548555148,4.502562418,-3.596791209,0.0010144,0.336416099,-0.872204199,KLHL36
231175_at,-0.646296094,5.737468839,-3.582793118,0.001054523,0.336416099,-0.902378729,BEND6
215670_s_at,0.395234578,5.496791855,3.582507785,0.001055356,0.336416099,-0.90299338,SCAND2P
205113_at,-0.85490892,7.972449175,-3.579887337,0.001063042,0.336416099,-0.908637429,NEFM
212458_at,-0.647380786,5.694910884,-3.578818034,0.001066193,0.336416099,-0.910940139,SPRED2
221729_at,-0.486960331,2.51680486,-3.564775183,0.001108429,0.336416099,-0.941158874,COL5A2
219714_s_at,-0.622143451,2.966393737,-3.564464864,0.001109381,0.336416099,-0.941826181,CACNA2D3
228696_at,0.376842819,3.076801425,3.563923686,0.001111042,0.336416099,-0.942989877,SLC45A3
205796_at,-0.587859006,2.362692135,-3.563052195,0.001113721,0.336416099,-0.944863719,TCP11L1
226968_at,0.319532223,7.311600629,3.56094299,0.001120233,0.336416099,-0.949398173,KIF1B
239415_at,-0.635936091,3.877729182,-3.559319757,0.001125269,0.336416099,-0.952887225,MAP9
224311_s_at,-0.63205354,5.182220602,-3.558315678,0.001128395,0.336416099,-0.955045162,CAB39
207957_s_at,-0.729880108,6.606438051,-3.55749082,0.00113097,0.336416099,-0.956817763,PRKCB
202391_at,-0.752023165,10.08189334,-3.55646008,0.001134195,0.336416099,-0.959032596,BASP1
242807_at,-0.405890807,3.697210939,-3.552724024,0.001145959,0.336416099,-0.967058667,FSD1L
232502_at,0.365904522,3.422335864,3.550713881,0.001152337,0.336416099,-0.971375779,CC2D2B
227623_at,-0.597383633,6.78575184,-3.549026612,0.001157717,0.336416099,-0.9749988,CACNA2D1
212558_at,-0.525002413,2.826143592,-3.546246016,0.001166636,0.336416099,-0.980968163,SPRY1
200093_s_at,-0.58341389,6.894377277,-3.545546845,0.001168889,0.336416099,-0.982468879,HINT1
206731_at,-0.676156647,4.227972227,-3.543761697,0.001174661,0.336416099,-0.986300081,CNKSR2
229300_at,-0.755655255,4.519547353,-3.541359144,0.001182472,0.336416099,-0.99145525,RAB3C
221687_s_at,0.57309937,7.223960153,3.539802644,0.00118756,0.336416099,-0.994794378,MVB12B
226751_at,-0.699259822,7.29237205,-3.538201378,0.001192815,0.336416099,-0.998228997,CNRIP1
1552411_at,-0.581338135,3.068440862,-3.534527547,0.001204959,0.336416099,-1.00610705,DEFB106A
229156_s_at,-0.542126237,2.348556816,-3.53436263,0.001205507,0.336416099,-1.006460625,PRKAG2-AS1
231720_s_at,0.51619758,4.200618106,3.532734249,0.001210929,0.336416099,-1.009951482,JAM3
228502_at,-0.377813569,2.601416135,-3.530864238,0.001217186,0.336416099,-1.01395963,RPS6KA6
214365_at,-0.420377589,4.451074462,-3.527557681,0.001228325,0.336416099,-1.021044983,TPM3
200715_x_at,0.440583157,6.63594636,3.526419372,0.001232182,0.336416099,-1.023483623,RPL13A
209159_s_at,-0.531966921,8.017603613,-3.525047552,0.001236846,0.336416099,-1.026422146,NDRG4
209845_at,-0.991137933,5.830637941,-3.524961678,0.001237139,0.336416099,-1.026606079,MKRN1
241727_x_at,0.29551124,4.438202977,3.52457686,0.001238451,0.336416099,-1.027430301,DHFR2
1558011_at,0.528562966,6.474948856,3.523276725,0.001242892,0.336416099,-1.030214757,LOC441081
219086_at,-0.530182121,3.275293246,-3.523204246,0.001243141,0.336416099,-1.030369971,ZNF839
231387_at,0.44567877,5.164423413,3.522156016,0.001246734,0.336416099,-1.032614645,PXDC1
235829_at,0.459859586,3.178798369,3.520706522,0.001251718,0.336416099,-1.035718185,CAHM
223696_at,0.502924025,4.513822433,3.510917493,0.00128589,0.336416099,-1.056665573,ARSD
214762_at,-0.895022825,7.522846382,-3.510814491,0.001286255,0.336416099,-1.056885872,ATP6V1G2
1566402_at,1.107408395,6.052808983,3.510219085,0.001288362,0.336416099,-1.058159277,SNORA68
207508_at,-0.539442055,6.366148207,-3.509986435,0.001289187,0.336416099,-1.058656827,ATP5MC3
217473_x_at,0.321443301,6.828678875,3.509490914,0.001290945,0.336416099,-1.059716519,SLC11A1
212934_at,-0.483510773,5.500611435,-3.508882996,0.001293104,0.336416099,-1.061016503,UBXN2B
220539_at,0.541982847,4.280834663,3.507465373,0.001298154,0.336416099,-1.06404766,CFAP46
208248_x_at,-0.34956114,9.718815793,-3.507428353,0.001298286,0.336416099,-1.06412681,APLP2
213131_at,-0.441130837,7.917746712,-3.505525018,0.001305097,0.336491702,-1.068195794,OLFM1
225891_at,0.35994367,5.695025982,3.503914362,0.001310887,0.336491702,-1.071638455,TPRN
209646_x_at,0.275417518,8.251510107,3.494104572,0.00134669,0.342005437,-1.092593652,ALDH1B1
213329_at,0.503402068,5.122599067,3.49130261,0.001357088,0.342005437,-1.098575101,SRGAP2
219161_s_at,0.541384322,5.994702304,3.490059225,0.001361727,0.342005437,-1.101228835,CKLF
212063_at,0.712834043,2.906395222,3.488493575,0.00136759,0.342005437,-1.104569872,CD44
201243_s_at,-0.457131819,10.79803828,-3.487379489,0.001371776,0.342005437,-1.106946954,ATP1B1
244166_at,0.381426175,3.813373233,3.485319465,0.001379551,0.342005437,-1.111341604,LOC105373334
1552931_a_at,0.475988878,5.437452152,3.484260639,0.001383563,0.342005437,-1.113600026,PDE8A
209501_at,-0.49401395,3.917881091,-3.481900263,0.001392548,0.342005437,-1.118633665,CDR2
206432_at,-0.262556258,1.646856958,-3.481644301,0.001393526,0.342005437,-1.119179444,HAS2
206481_s_at,-0.49456198,8.190180307,-3.477018432,0.001411309,0.344479192,-1.129040434,LDB2
216967_at,-0.60932191,7.778591853,-3.470568246,0.001436472,0.347518105,-1.14278216,GAP43
202077_at,-0.594403938,6.375739257,-3.457294958,0.001489616,0.348057249,-1.171029931,NDUFAB1
212729_at,-0.46441415,5.403101653,-3.457236343,0.001489855,0.348057249,-1.171154582,DLG3
208759_at,-0.491620059,4.842421631,-3.453247866,0.001506193,0.348057249,-1.179634681,NCSTN
224164_at,-0.628232241,3.762534451,-3.453165548,0.001506532,0.348057249,-1.179809663,TPM3
206320_s_at,0.360428383,2.750394225,3.44982612,0.001520347,0.348057249,-1.186906866,SMAD9
1552696_at,-0.424047186,6.19040151,-3.449438294,0.001521959,0.348057249,-1.187730932,NIPA1
219158_s_at,0.538440267,4.45557451,3.44858563,0.00152551,0.348057249,-1.189542583,NAA15
228938_at,0.646424132,4.071405157,3.4477537,0.001528982,0.348057249,-1.191310014,MBP
204339_s_at,-0.542243047,5.128116703,-3.445072678,0.001540222,0.348057249,-1.197004727,RGS4
225726_s_at,0.559670755,8.941199817,3.441611337,0.001554851,0.348057249,-1.204354401,PLEKHH1
201313_at,-0.852815929,9.036739724,-3.441195649,0.001556617,0.348057249,-1.205236866,ENO2
201197_at,-0.573392533,6.317382108,-3.437723747,0.001571441,0.348057249,-1.212605782,AMD1
214814_at,0.317435845,5.522442307,3.435370826,0.001581565,0.348057249,-1.217598101,YTHDC1
212262_at,0.539310632,6.691591328,3.432422141,0.00159434,0.348057249,-1.223852627,QKI
202753_at,-0.6067668,4.149094215,-3.430683649,0.001601918,0.348057249,-1.227539215,PSMD6
201341_at,-0.545036222,10.35607896,-3.430263832,0.001603754,0.348057249,-1.228429358,ENC1
211984_at,-0.502441896,9.594558165,-3.428260962,0.001612537,0.348057249,-1.232675483,CALM1
201839_s_at,-0.642587967,2.767995661,-3.425987784,0.001622562,0.348057249,-1.237493504,EPCAM
215108_x_at,-0.560012458,2.168892318,-3.425873878,0.001623066,0.348057249,-1.237734897,TOX3
212367_at,-0.429774182,6.964257389,-3.425843456,0.001623201,0.348057249,-1.237799367,FEM1B
223553_s_at,0.479242481,3.522263691,3.425627641,0.001624156,0.348057249,-1.238256716,DOK3
1553976_a_at,-0.364999812,3.149763823,-3.424051321,0.001631149,0.348057249,-1.241596879,DPCD
218680_x_at,-0.339047861,7.730823769,-3.422356621,0.0016387,0.348057249,-1.24518722,HYPK
230680_at,-0.60461267,4.124435983,-3.420058299,0.001648994,0.348057249,-1.250055273,SLITRK4
214983_at,-0.805234815,2.44978644,-3.418984401,0.001653826,0.348057249,-1.252329451,TTTY15
244591_x_at,0.432467563,5.140611904,3.417191329,0.001661923,0.348057249,-1.256125991,RNF207
206438_x_at,0.292385288,9.053304123,3.416387891,0.001665563,0.348057249,-1.257826891,TCTN2
210227_at,-0.498837913,4.806043333,-3.412613167,0.001682769,0.348057249,-1.265815991,DLGAP2
244170_at,-0.694207348,3.366875858,-3.4099056,0.001695216,0.348057249,-1.271544356,RAB3C
238673_at,-1.105510519,6.359156032,-3.408864732,0.001700025,0.348057249,-1.273746035,SAMD12
225111_s_at,-0.672493,9.286260933,-3.408650925,0.001701014,0.348057249,-1.274198255,NAPB
202260_s_at,-0.435351638,8.549701298,-3.405859886,0.001713979,0.348057249,-1.280100504,STXBP1
216653_at,-0.350432004,1.810880576,-3.405581661,0.001715277,0.348057249,-1.280688767,DR1
204325_s_at,-0.406539519,6.237668524,-3.404832819,0.001718774,0.348057249,-1.282271981,NF1
205466_s_at,-0.306787745,1.784666905,-3.403821696,0.001723508,0.348057249,-1.284409495,HS3ST1
1555332_at,-0.557955507,2.461551633,-3.402860795,0.001728017,0.348057249,-1.286440609,TPH2
211597_s_at,-0.965133547,5.569802477,-3.401927293,0.001732409,0.348057249,-1.288413592,HOPX
231593_at,0.372823661,2.633055929,3.401110148,0.001736262,0.348057249,-1.290140476,LOC105371508
1563462_at,-0.271331916,1.520185887,-3.400665376,0.001738363,0.348057249,-1.291080352,LINC01091
206330_s_at,-0.428217102,5.197059737,-3.400199654,0.001740566,0.348057249,-1.292064444,SHC3
209444_at,-0.641080852,5.556443073,-3.397303317,0.001754322,0.348057249,-1.29818335,RAP1GDS1
1553299_at,-0.399702731,1.66204401,-3.396375178,0.001758753,0.348057249,-1.300143735,DUSP5P1
207112_s_at,0.573738595,6.965294327,3.395431203,0.00176327,0.348057249,-1.302137351,GAB1
229714_at,-0.460852897,3.686678331,-3.395411826,0.001763363,0.348057249,-1.302178272,HS6ST3
218501_at,-0.727811023,6.575381205,-3.39293451,0.001775271,0.349147206,-1.307409151,ARHGEF3
228715_at,-0.56647145,4.380157463,-3.390294399,0.001788046,0.350399344,-1.312982109,ZCCHC12
238480_at,-0.69401098,5.58933969,-3.385847436,0.001809764,0.351017758,-1.32236522,TTC39C
208032_s_at,-0.703845334,6.310709812,-3.385705454,0.001810462,0.351017758,-1.32266472,GRIA3
218604_at,-0.732394127,5.627098184,-3.379913333,0.00183914,0.354202044,-1.334878556,LEMD3
226424_at,0.45569844,5.767599518,3.379772624,0.001839842,0.354202044,-1.335175164,CAPS
236151_at,-0.517138457,4.168677878,-3.376976481,0.001853847,0.355645988,-1.341068296,SRRM4
214740_at,0.541746099,4.347067252,3.372422748,0.001876875,0.357254003,-1.350661526,POLR2J3
224502_s_at,-0.468291996,6.196226051,-3.372055418,0.001878744,0.357254003,-1.351435143,KIAA1191
1561507_at,-0.40624662,1.829885233,-3.368277961,0.001898073,0.357254003,-1.359388715,FFAR1
205110_s_at,-0.631415625,6.673928864,-3.366656216,0.001906429,0.357254003,-1.362802254,FGF13
201554_x_at,-0.483765088,2.661379881,-3.365172782,0.001914104,0.357254003,-1.365924089,GYG1
206235_at,-0.667540431,6.250654389,-3.365124394,0.001914354,0.357254003,-1.366025911,LIG4
1568896_at,-0.673937496,5.358974933,-3.365005644,0.00191497,0.357254003,-1.366275791,STXBP5L
206373_at,0.584739682,8.111404717,3.363837597,0.001921037,0.357254003,-1.368733465,ZIC1
213791_at,-0.767611754,3.307565373,-3.361749873,0.001931925,0.35740328,-1.373125359,PENK
235402_at,0.38844328,4.817719418,3.361179033,0.001934913,0.35740328,-1.374326029,SAXO4
212623_at,-0.511905066,6.929620856,-3.354955411,0.001967774,0.361452755,-1.387411052,TMEM41B
221738_at,0.524924442,3.953770477,3.354526577,0.001970058,0.361452755,-1.388312302,RALGAPB
219080_s_at,0.36585308,4.133691276,3.351934785,0.001983915,0.36202259,-1.393758293,CTPS2
215736_at,-0.623726068,5.540162472,-3.3514707,0.001986407,0.36202259,-1.394733269,KCNV1
223512_at,0.713648419,5.285898302,3.345178659,0.002020478,0.366635203,-1.407946495,SAR1B
203110_at,-0.427635437,6.023076063,-3.343591896,0.002029159,0.366635203,-1.411277079,PTK2B
237098_at,0.505462508,4.100650265,3.343104407,0.002031833,0.366635203,-1.41230018,C1orf21
1556047_s_at,-0.739876815,6.967682425,-3.341348586,0.002041492,0.367166378,-1.415984636,MAGEE1
201566_x_at,-0.30613086,2.100385118,-3.339170381,0.002053536,0.367522083,-1.42055433,ID2
207507_s_at,-0.473169893,8.804350615,-3.338561691,0.002056914,0.367522083,-1.421831092,ATP5MC3
223897_at,0.306514779,3.233821971,3.333668378,0.002084262,0.367915632,-1.432091614,ZNF765
212339_at,-0.570926527,9.904356871,-3.331180393,0.0020983,0.367915632,-1.437306153,EPB41L1
1569387_at,0.596511721,2.235486104,3.330069866,0.002104595,0.367915632,-1.439633174,CSGALNACT1
212119_at,0.479195571,7.685934819,3.328955757,0.002110929,0.367915632,-1.441967379,RHOQ
205088_at,-0.280396591,1.701803084,-3.32836794,0.002114278,0.367915632,-1.443198802,MAMLD1
210454_s_at,-0.481037367,4.656104399,-3.328058425,0.002116044,0.367915632,-1.443847172,KCNJ6
228547_at,-0.679701518,6.71794885,-3.326826158,0.002123087,0.367915632,-1.44642827,NRXN1
200709_at,-0.637762106,8.948167608,-3.326069175,0.002127424,0.367915632,-1.448013644,FKBP1A
